대계열,중계열,소계열,졸업자_계,졸업자_남,졸업자_여,취업률_계,취업률_남,취업률_여,취업자_계,취업자_남,취업자_여,건강보험가입교외취업자_계,건강보험가입교외취업자_남,건강보험가입교외취업자_여,건강보험가입교내취업자_계,건강보험가입교내취업자_남,건강보험가입교내취업자_여,해외취업자_계,해외취업자_남,해외취업자_여,농림어업종사자_계,농림어업종사자_남,농림어업종사자_여,개인창작활동종사자_계,개인창작활동종사자_남,개인창작활동종사자_여,1인창(사)업자_계,1인창(사)업자_남,1인창(사)업자_여,프리랜서_계,프리랜서_남,프리랜서_여,진학률_계,진학자_계,진학자_남,진학자_여,입대자,취업불가능자_계,취업불가능자_남,취업불가능자_여,외국인유학생_계,외국인유학생_남,외국인유학생_여,제외인정자_계,제외인정자_남,제외인정자_여,기타_계,기타_남,기타_여,미상_계,미상_남,미상_여
자연계열,생활과학,식품영양학,327,182,145,65.9,72.7,57.4,209,128,81,188,117,71,7,3,4,-,-,-,-,-,-,-,-,-,2,2,-,12,6,6,2.1,7,5,2,-,-,-,-,3,1,2,-,-,-,108,48,60,-,-,-
자연계열,생활과학,의류ㆍ의상학,7,4,3,85.7,100,66.7,6,4,2,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
자연계열,수학ㆍ물리ㆍ천문ㆍ지리,수학ㆍ물리,13,10,3,53.8,60,33.3,7,6,1,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4,2,-,-,-
자연계열,수학ㆍ물리ㆍ천문ㆍ지리,지구ㆍ지리학,36,33,3,73.5,75,50,25,24,1,20,19,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,2.8,1,1,-,-,-,-,-,-,-,-,1,-,1,9,8,1,-,-,-
의학계열,의료,치의학,42,6,36,83.3,83.3,83.3,35,5,30,34,5,29,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,1,6,-,-,-
의학계열,간호,간호학,157,54,103,85.7,76.9,90.2,132,40,92,131,40,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,2,1,1,22,12,10,-,-,-
의학계열,치료ㆍ보건,보건학,66,41,25,84.6,85,84,55,34,21,51,31,20,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,2,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,9,6,3,1,-,1
의학계열,치료ㆍ보건,재활학,103,53,50,76.7,79.2,74,79,42,37,74,39,35,3,2,1,-,-,-,-,-,-,-,-,-,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,11,13,-,-,-
의학계열,치료ㆍ보건,의료공학,47,30,17,72.7,59.3,94.1,32,16,16,32,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,2,-,12,11,1,-,-,-
예체능계열,디자인,디자인일반,106,29,77,61.4,69.2,58.7,62,18,44,49,13,36,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,12,5,7,2.8,3,2,1,-,-,-,-,2,1,1,-,-,-,39,8,31,-,-,-
예체능계열,디자인,산업디자인,65,32,33,62.9,61.3,64.5,39,19,20,35,17,18,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,3,1,2,4.6,3,1,2,-,-,-,-,-,-,-,-,-,-,23,12,11,-,-,-
예체능계열,디자인,시각디자인,78,30,48,57.5,70.4,50,42,19,23,33,17,16,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,8,1,7,2.6,2,2,-,-,-,-,-,3,1,2,-,-,-,26,8,18,5,-,5
예체능계열,디자인,패션디자인,9,3,6,88.9,100,83.3,8,3,5,6,3,3,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
예체능계열,디자인,기타디자인,158,58,100,54.3,55.6,53.6,82,30,52,67,25,42,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,12,4,8,0.6,1,1,-,-,-,-,-,5,3,2,1,-,1,67,23,44,2,1,1
예체능계열,응용예술,공예,41,12,29,73,80,70.4,27,8,19,22,7,15,-,-,-,1,-,1,-,-,-,-,-,-,1,1,-,3,-,3,9.8,4,2,2,-,-,-,-,-,-,-,-,-,-,8,2,6,2,-,2
예체능계열,응용예술,사진ㆍ만화,55,26,29,78.2,88.5,69,43,23,20,28,19,9,4,2,2,-,-,-,-,-,-,6,1,5,-,-,-,5,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,3,9,-,-,-
예체능계열,응용예술,영상ㆍ예술,120,54,66,74.3,78,71.4,84,39,45,60,29,31,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,21,9,12,-,-,-,-,-,-,-,-,7,4,3,-,-,-,29,11,18,-,-,-
예체능계열,무용ㆍ체육,체육,347,278,69,74,74.3,73.1,248,199,49,184,144,40,6,5,1,1,1,-,-,-,-,-,-,-,22,19,3,35,30,5,0.9,3,1,2,7,1,1,-,-,-,-,1,1,-,84,67,17,3,2,1
예체능계열,미술ㆍ조형,응용미술,28,3,25,65.4,-,73.9,17,-,17,13,-,13,-,-,-,-,-,-,-,-,-,1,-,1,2,-,2,1,-,1,7.1,2,-,2,-,-,-,-,-,-,-,-,-,-,9,3,6,-,-,-
예체능계열,미술ㆍ조형,조형,64,16,48,61,69.2,58.7,36,9,27,26,5,21,2,1,1,-,-,-,-,-,-,3,1,2,-,-,-,5,2,3,6.3,4,3,1,-,-,-,-,-,-,-,1,-,1,19,4,15,4,-,4
예체능계열,연극ㆍ영화,연극ㆍ영화,154,72,82,85.4,81.3,88.8,123,52,71,43,17,26,3,2,1,-,-,-,-,-,-,62,23,39,-,-,-,15,10,5,3.2,5,3,2,2,1,1,-,1,1,-,1,1,-,19,10,9,2,2,-
예체능계열,음악,음악학,3,1,2,33.3,100,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-
예체능계열,음악,기타음악,126,63,63,85.1,78.3,91.8,103,47,56,29,15,14,1,-,1,-,-,-,-,-,-,15,5,10,3,1,2,55,26,29,1.6,2,-,2,2,-,-,-,1,1,-,-,-,-,18,13,5,-,-,-
